mensajes.id,mensajes.descripcion,mensajes.texto,mensajes.job
122,Bienvenida 1er. Mes,"\nCLIENTE te enviamos un cordial saludo:\nPor ser cliente distinguido de AGENCIA queremos que lo mejor del Drivestyle llegue a tu puerta, por eso durante tres meses te obsequiaremos un ejemplar de la Revista Autoexplora. ¡Esperamos que lo disfrutes!\n",1
123,Bienvenida 2do. MES,"\nCLIENTE es un gusto volver a saludarte:\nEste es el segundo ejemplar gratuito que recibes de la revista Autoexplora Drivestyle, por parte de AGENCIA. ¡Disfrútalo!\n",1
124,Bienvenida 3er. MES,"\nCLIENTE recibe un cordial saludo:\nEste es el último ejemplar de la revista Autoexplora Drivestyle que te llegará de parte de AGENCIA. Si deseas seguir conociendo lo mejor de la industria automotriz, suscríbete, para más información llámanos al 5482-0361 o escríbenos a suscribete@autoexplora.com\n",1
125,BienvenidaP 1er. MES,"CLIENTE le enviamos un cordial saludo:\nPor ser cliente distinguido de AGENCIA queremos que lo mejor del Drivestyle llegue a su puerta, por eso durante tres meses le obsequiaremos un ejemplar de la Revista Autoexplora. ¡Esperamos que lo disfrute!\n",1
126,BienvenidaP 2do. MES,"CLIENTE es un gusto volver a saludarlo:\nEste es el segundo ejemplar gratuito que recibe de la revista Autoexplora Drivestyle, por parte de AGENCIA. ¡Disfrútelo!\n",1
127,BienvenidaP 3er. MES,"CLIENTE recibe un cordial saludo:\nEste es el último ejemplar de la revista Autoexplora Drivestyle que le llegará de parte de AGENCIA. Si desea seguir conociendo lo mejor de la industria automotriz, suscríbase, para más información llámenos al 5482-0361 o escríbanos a suscribete@autoexplora.com",1
128,Bienvenida 1er. Mes Lider Camión,"\nCLIENTE te enviamos un cordial saludo:\nPor ser cliente distinguido de AGENCIA queremos que lo mejor del Drivestyle llegue a tu puerta, por eso durante tres meses te obsequiaremos un ejemplar de la Revista Autoexplora. ¡Esperamos que lo disfrutes!\n",1
129,Bienvenida 2do. MES Líder Camión,"\nCLIENTE es un gusto volver a saludarte:\nEste es el segundo ejemplar gratuito que recibes de la revista Autoexplora Drivestyle, por parte de AGENCIA. ¡Disfrútalo!\n",1
130,Bienvenida 3er. MES Líder Camión,"\nCLIENTE recibe un cordial saludo:\nEste es el último ejemplar de la revista Autoexplora Drivestyle que te llegará de parte de AGENCIA. Si deseas seguir conociendo lo mejor de la industria automotriz, suscríbete, para más información llámanos al 5482-0361 o escríbenos a suscribete@autoexplora.com\n",1
131,Bienvenida 1er. Mes Seat México,"\nCLIENTE te enviamos un cordial saludo:\nPor ser cliente distinguido de AGENCIA queremos que lo mejor del Drivestyle llegue a tu puerta, por eso durante tres meses te obsequiaremos un ejemplar de la Revista Autoexplora. ¡Esperamos que lo disfrutes! Recuerda que ser Chilango es Cuestión de Actitud.\n",1
132,Bienvenida 1er. Mes Seat Acapulco,"\nCLIENTE te enviamos un cordial saludo:\nPor ser cliente distinguido de AGENCIA queremos que lo mejor del Drivestyle llegue a tu puerta, por eso durante tres meses te obsequiaremos un ejemplar de la Revista Autoexplora. ¡Esperamos que lo disfrutes! Recuerda que ser Guerrerense es Cuestión de Actitud.\n",1
133,Bienvenida 1er. Mes Seat Monterrey,"\nCLIENTE te enviamos un cordial saludo:\nPor ser cliente distinguido de AGENCIA queremos que lo mejor del Drivestyle llegue a tu puerta, por eso durante tres meses te obsequiaremos un ejemplar de la Revista Autoexplora. ¡Esperamos que lo disfrutes! Recuerda que ser Regio es Cuestión de Actitud.\n",1
134,Bienvenida 2do. MES Seat ,"\nCLIENTE es un gusto volver a saludarte:\nEste es el segundo ejemplar gratuito que recibes de la revista Autoexplora Drivestyle, por parte de AGENCIA. ¡Disfrútalo!\n",1
135,Bienvenida 3er. MES Seat ,"\nCLIENTE recibe un cordial saludo:\nEste es el último ejemplar de la revista Autoexplora Drivestyle que te llegará de parte de AGENCIA. Si deseas seguir conociendo lo mejor de la industria automotriz, suscríbete, para más información llámanos al 5482-0361 o escríbenos a suscribete@autoexplora.com\n",1
